file,len_a,len_b,repetitions,runtime_ms
1.in,25,29,1379,0.12290456858710092
2.in,30,34,980,0.21362061225048892
3.in,35,39,732,0.30261270502770493
4.in,40,44,568,0.3854952464421267
5.in,45,49,453,0.37434790283441544
6.in,50,54,370,0.55655378382653
7.in,55,59,308,0.7017340908709961
8.in,60,64,260,0.7383742307026225
9.in,65,69,222,1.02433738737107
10.in,70,74,193,1.0104051814052648
